mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
15.895,0.892,0.161,0.002,0.27399999999999997,0.0,0.43799999999999994,24.095,0.0
16.687,0.888,0.153,0.002,0.27399999999999997,0.0,0.429,24.247,0.0
17.017,0.902,0.17300000000000001,0.002,0.261,0.0,0.435,24.00800000000001,0.0
15.788,0.88,0.16899999999999998,0.002,0.292,0.0,0.46299999999999997,24.211,0.0
16.445999999999998,0.892,0.14,0.002,0.262,0.0,0.40299999999999997,24.174,0.0
16.326,0.9009999999999999,0.159,0.002,0.252,0.0,0.413,24.281999999999996,0.0
16.495,0.895,0.134,0.002,0.257,0.0,0.39299999999999996,24.144000000000002,0.0
15.959000000000001,0.888,0.136,0.002,0.276,0.0,0.414,24.164,0.0
16.488,0.89,0.174,0.002,0.271,0.0,0.44799999999999995,24.291,0.0
16.219,0.897,0.16899999999999998,0.002,0.256,0.0,0.4270000000000001,24.073,0.0
16.456,0.8959999999999999,0.161,0.002,0.261,0.0,0.424,24.122,0.0
16.303,0.9,0.17600000000000002,0.002,0.255,0.0,0.433,24.146,0.0
16.129,0.903,0.162,0.002,0.249,0.0,0.413,24.101,0.0
16.885,0.902,0.19399999999999998,0.002,0.23600000000000002,0.0,0.4320000000000001,24.228,0.0
16.847,0.902,0.121,0.002,0.251,0.0,0.374,24.23,0.0
17.083,0.898,0.196,0.002,0.24600000000000002,0.0,0.444,24.378,0.0
16.793,0.894,0.135,0.002,0.262,0.0,0.39899999999999997,24.19,0.0
16.57,0.894,0.14800000000000002,0.002,0.254,0.0,0.40399999999999997,24.128,0.0
16.6,0.897,0.17800000000000002,0.002,0.261,0.0,0.441,24.278000000000002,0.0
16.702,0.892,0.157,0.002,0.279,0.0,0.438,24.478,0.0
16.516,0.905,0.179,0.002,0.243,0.0,0.425,24.066,0.0
16.499000000000002,0.8909999999999999,0.16699999999999998,0.002,0.266,0.0,0.435,23.999,0.0
16.512999999999998,0.898,0.165,0.002,0.245,0.0,0.411,23.955,0.0
16.67,0.902,0.161,0.002,0.253,0.0,0.416,23.945,0.0
16.45,0.9,0.151,0.002,0.253,0.0,0.406,24.03,0.0
17.034000000000002,0.8959999999999999,0.16399999999999998,0.002,0.251,0.0,0.417,24.063,0.0
17.115,0.903,0.133,0.002,0.236,0.0,0.371,23.987,0.0
16.51,0.904,0.156,0.002,0.237,0.0,0.395,23.942,0.0
16.555999999999994,0.906,0.153,0.002,0.255,0.0,0.41,23.81,0.0
16.363,0.899,0.14300000000000002,0.002,0.263,0.0,0.408,24.543000000000003,0.0
17.034000000000002,0.904,0.168,0.002,0.253,0.0,0.423,24.176,0.0
16.377,0.91,0.166,0.002,0.24,0.0,0.408,24.626,0.0
16.613,0.904,0.149,0.002,0.243,0.0,0.394,24.336,0.0
16.833,0.903,0.169,0.002,0.248,0.0,0.419,24.28,0.0
16.705,0.902,0.139,0.002,0.25,0.0,0.39,24.123,0.0
16.582,0.904,0.143,0.002,0.244,0.0,0.389,24.123,0.0
16.612,0.9,0.143,0.002,0.244,0.0,0.388,24.171,0.0
16.525,0.91,0.186,0.002,0.226,0.0,0.414,24.115,0.0
16.771,0.898,0.162,0.002,0.256,0.0,0.419,24.104,0.0
17.298,0.897,0.164,0.002,0.25,0.0,0.416,24.047,0.0
16.97,0.898,0.116,0.002,0.253,0.0,0.37,24.104,0.0
